0.032109826599807184 0 a 
0.08728355816122677 1 a 
0.1847792940773304 2 a 
0.30464955253024883 3 a 
0.3911777686313868 4 a 
0.3390962385404736 0 b a=0
0.2992513801900551 1 b a=0
0.20567226526802598 2 b a=0
0.11008843051410029 3 b a=0
0.045891685487344985 4 b a=0
0.2387593772600417 0 b a=1
0.27054981899741504 1 b a=1
0.2387593772600417 2 b a=1
0.16409676020163572 3 b a=1
0.08783466628086573 4 b a=1
0.15246914402033737 0 b a=2
0.22184129554377696 1 b a=2
0.25137912087177144 2 b a=2
0.22184129554377696 3 b a=2
0.15246914402033737 4 b a=2
0.08783466628086574 0 b a=3
0.16409676020163574 1 b a=3
0.23875937726004176 2 b a=3
0.2705498189974151 3 b a=3
0.23875937726004176 4 b a=3
0.045891685487344985 0 b a=4
0.11008843051410029 1 b a=4
0.20567226526802598 2 b a=4
0.2992513801900551 3 b a=4
0.3390962385404736 4 b a=4
0.3390962385404736 0 c a=0 b=0
0.2992513801900551 1 c a=0 b=0
0.20567226526802598 2 c a=0 b=0
0.11008843051410029 3 c a=0 b=0
0.045891685487344985 4 c a=0 b=0
0.2878279713129289 0 c a=0 b=1
0.2878279713129289 1 c a=0 b=1
0.22416064944836286 2 c a=0 b=1
0.13596030659152789 3 c a=0 b=1
0.06422310133425149 4 c a=0 b=1
0.2387593772600417 0 c a=0 b=2
0.27054981899741504 1 c a=0 b=2
0.2387593772600417 2 c a=0 b=2
0.16409676020163572 3 c a=0 b=2
0.08783466628086573 4 c a=0 b=2
0.1932523434669524 0 c a=0 b=3
0.24814092084603612 1 c a=0 b=3
0.24814092084603612 2 c a=0 b=3
0.1932523434669524 3 c a=0 b=3
0.11721347137402305 4 c a=0 b=3
0.15246914402033737 0 c a=0 b=4
0.22184129554377696 1 c a=0 b=4
0.25137912087177144 2 c a=0 b=4
0.22184129554377696 3 c a=0 b=4
0.15246914402033737 4 c a=0 b=4
0.2878279713129289 0 c a=1 b=0
0.2878279713129289 1 c a=1 b=0
0.22416064944836286 2 c a=1 b=0
0.13596030659152789 3 c a=1 b=0
0.06422310133425149 4 c a=1 b=0
0.2387593772600417 0 c a=1 b=1
0.27054981899741504 1 c a=1 b=1
0.2387593772600417 2 c a=1 b=1
0.16409676020163572 3 c a=1 b=1
0.08783466628086573 4 c a=1 b=1
0.1932523434669524 0 c a=1 b=2
0.24814092084603612 1 c a=1 b=2
0.24814092084603612 2 c a=1 b=2
0.1932523434669524 3 c a=1 b=2
0.11721347137402305 4 c a=1 b=2
0.15246914402033737 0 c a=1 b=3
0.22184129554377696 1 c a=1 b=3
0.25137912087177144 2 c a=1 b=3
0.22184129554377696 3 c a=1 b=3
0.15246914402033737 4 c a=1 b=3
0.11721347137402303 0 c a=1 b=4
0.19325234346695236 1 c a=1 b=4
0.2481409208460361 2 c a=1 b=4
0.2481409208460361 3 c a=1 b=4
0.19325234346695236 4 c a=1 b=4
0.2387593772600417 0 c a=2 b=0
0.27054981899741504 1 c a=2 b=0
0.2387593772600417 2 c a=2 b=0
0.16409676020163572 3 c a=2 b=0
0.08783466628086573 4 c a=2 b=0
0.1932523434669524 0 c a=2 b=1
0.24814092084603612 1 c a=2 b=1
0.24814092084603612 2 c a=2 b=1
0.1932523434669524 3 c a=2 b=1
0.11721347137402305 4 c a=2 b=1
0.15246914402033737 0 c a=2 b=2
0.22184129554377696 1 c a=2 b=2
0.25137912087177144 2 c a=2 b=2
0.22184129554377696 3 c a=2 b=2
0.15246914402033737 4 c a=2 b=2
0.11721347137402303 0 c a=2 b=3
0.19325234346695236 1 c a=2 b=3
0.2481409208460361 2 c a=2 b=3
0.2481409208460361 3 c a=2 b=3
0.19325234346695236 4 c a=2 b=3
0.08783466628086574 0 c a=2 b=4
